Tip podataka,Veličina teksta,Dužina uzorka,Algoritam,Vrijeme (ms),Podudaranja,Memorija (KB),Tačnost,L1 Cache Misses,L2 Cache Misses,Instructions,Cache Miss Rate,Cache Data Available
Cache Boundary Test,16384,4,Naivni,0.782,1,1.00,Da,0,0,766125,0.000000,Da
Cache Boundary Test,16384,4,KMP,1.140,1,32.00,Da,0,0,1212437,0.000000,Da
Cache Boundary Test,16384,4,Rabin-Karp,0.508,1,2.00,Da,0,0,510783,0.000000,Da
Cache Boundary Test,16384,4,Boyer-Moore,0.226,1,64.00,Da,0,0,232300,0.000000,Da
Cache Boundary Test,16384,16,Naivni,0.467,1,1.00,Da,0,0,488383,0.000000,Da
Cache Boundary Test,16384,16,KMP,0.729,1,0.06,Da,0,0,815862,0.000000,Da
Cache Boundary Test,16384,16,Rabin-Karp,0.351,1,2.00,Da,0,0,380883,0.000000,Da
Cache Boundary Test,16384,16,Boyer-Moore,0.047,1,32.00,Da,0,0,67520,0.000000,Da
Cache Boundary Test,16384,32,Naivni,0.343,1,1.00,Da,0,0,408462,0.000000,Da
Cache Boundary Test,16384,32,KMP,0.605,1,0.12,Da,0,0,647183,0.000000,Da
Cache Boundary Test,16384,32,Rabin-Karp,0.323,1,2.00,Da,0,0,324170,0.000000,Da
Cache Boundary Test,16384,32,Boyer-Moore,0.025,1,1.00,Da,0,0,27170,0.000000,Da
Cache Boundary Test,32768,4,Naivni,0.821,1,1.00,Da,0,0,666804,0.000000,Da
Cache Boundary Test,32768,4,KMP,1.280,1,0.02,Da,0,0,1241650,0.000000,Da
Cache Boundary Test,32768,4,Rabin-Karp,0.642,1,2.00,Da,0,0,607237,0.000000,Da
Cache Boundary Test,32768,4,Boyer-Moore,0.275,1,1.00,Da,0,0,278158,0.000000,Da
Cache Boundary Test,32768,16,Naivni,0.643,1,1.00,Da,0,0,668624,0.000000,Da
Cache Boundary Test,32768,16,KMP,1.185,1,0.06,Da,0,0,1224404,0.000000,Da
Cache Boundary Test,32768,16,Rabin-Karp,0.635,1,2.00,Da,0,0,614741,0.000000,Da
Cache Boundary Test,32768,16,Boyer-Moore,0.101,1,1.00,Da,0,0,93595,0.000000,Da
Cache Boundary Test,32768,32,Naivni,0.617,1,1.00,Da,0,0,599695,0.000000,Da
Cache Boundary Test,32768,32,KMP,1.107,1,0.12,Da,0,0,1132837,0.000000,Da
Cache Boundary Test,32768,32,Rabin-Karp,0.616,1,2.00,Da,0,0,613383,0.000000,Da
Cache Boundary Test,32768,32,Boyer-Moore,0.049,1,32.00,Da,0,0,64158,0.000000,Da
Cache Boundary Test,65536,4,Naivni,1.275,1,1.00,Da,0,0,1337370,0.000000,Da
Cache Boundary Test,65536,4,KMP,2.397,1,0.02,Da,0,0,2392771,0.000000,Da
Cache Boundary Test,65536,4,Rabin-Karp,1.282,1,2.00,Da,0,0,1226175,0.000000,Da
Cache Boundary Test,65536,4,Boyer-Moore,0.568,1,1.00,Da,0,0,549675,0.000000,Da
Cache Boundary Test,65536,16,Naivni,1.263,1,1.00,Da,0,0,1302416,0.000000,Da
Cache Boundary Test,65536,16,KMP,2.367,1,0.06,Da,0,0,2421395,0.000000,Da
Cache Boundary Test,65536,16,Rabin-Karp,1.228,1,2.00,Da,0,0,1236574,0.000000,Da
Cache Boundary Test,65536,16,Boyer-Moore,0.151,1,1.00,Da,0,0,153195,0.000000,Da
Cache Boundary Test,65536,32,Naivni,1.278,1,1.00,Da,0,0,1196291,0.000000,Da
Cache Boundary Test,65536,32,KMP,2.217,1,0.12,Da,0,0,2236491,0.000000,Da
Cache Boundary Test,65536,32,Rabin-Karp,1.217,1,2.00,Da,0,0,1240170,0.000000,Da
Cache Boundary Test,65536,32,Boyer-Moore,0.085,1,1.00,Da,0,0,86941,0.000000,Da
Cache Boundary Test,131072,4,Naivni,2.529,1,1.00,Da,8192,0,2597429,0.003154,Da
Cache Boundary Test,131072,4,KMP,4.745,1,0.02,Da,8192,0,4780499,0.001714,Da
Cache Boundary Test,131072,4,Rabin-Karp,2.426,1,2.00,Da,8192,0,2469833,0.003317,Da
Cache Boundary Test,131072,4,Boyer-Moore,1.103,1,1.00,Da,8192,0,1104099,0.007420,Da
Cache Boundary Test,131072,16,Naivni,2.535,1,1.00,Da,32768,0,2600987,0.012598,Da
Cache Boundary Test,131072,16,KMP,4.822,1,0.06,Da,32768,0,4761716,0.006882,Da
Cache Boundary Test,131072,16,Rabin-Karp,2.457,1,2.00,Da,32768,0,2453775,0.013354,Da
Cache Boundary Test,131072,16,Boyer-Moore,0.304,1,1.00,Da,32768,0,305212,0.107361,Da
Cache Boundary Test,131072,32,Naivni,2.380,1,1.00,Da,65536,0,2434633,0.026918,Da
Cache Boundary Test,131072,32,KMP,4.399,1,0.12,Da,65536,0,4440933,0.014757,Da
Cache Boundary Test,131072,32,Rabin-Karp,2.431,1,2.00,Da,65536,0,2462841,0.026610,Da
Cache Boundary Test,131072,32,Boyer-Moore,0.168,1,1.00,Da,65536,0,164900,0.397429,Da
Cache Boundary Test,524288,4,Naivni,10.157,1,1.00,Da,32768,0,10174100,0.003221,Da
Cache Boundary Test,524288,4,KMP,18.827,1,0.02,Da,32768,0,19036137,0.001721,Da
Cache Boundary Test,524288,4,Rabin-Karp,9.711,1,2.00,Da,32768,0,9761424,0.003357,Da
Cache Boundary Test,524288,4,Boyer-Moore,4.354,1,1.00,Da,32768,0,4389020,0.007466,Da
Cache Boundary Test,524288,16,Naivni,10.150,1,1.00,Da,131072,0,10210825,0.012837,Da
Cache Boundary Test,524288,16,KMP,18.969,1,0.06,Da,131072,0,18960816,0.006913,Da
Cache Boundary Test,524288,16,Rabin-Karp,9.722,1,2.00,Da,131072,0,9791791,0.013386,Da
Cache Boundary Test,524288,16,Boyer-Moore,1.251,1,1.00,Da,131072,0,1231270,0.106453,Da
Cache Boundary Test,524288,32,Naivni,9.521,1,1.00,Da,262144,0,9539604,0.027480,Da
Cache Boundary Test,524288,32,KMP,17.542,1,0.12,Da,262144,0,17629079,0.014870,Da
Cache Boundary Test,524288,32,Rabin-Karp,9.693,1,2.00,Da,262144,0,9758000,0.026865,Da
Cache Boundary Test,524288,32,Boyer-Moore,0.705,1,1.00,Da,262144,0,636808,0.411653,Da
Cache Boundary Test,1048576,4,Naivni,20.265,1,1.00,Da,65536,8192,20346366,0.003221,Da
Cache Boundary Test,1048576,4,KMP,37.869,1,0.02,Da,65536,8192,37880804,0.001730,Da
