Algorithm,Cache_Miss_Rate,Execution_Time_Ms,Text_Size_Category,Correlation_Group
Naive,0.00000000,0.021000,Small,Standard
KMP,0.00000000,0.060000,Small,Standard
Rabin-Karp,0.00000000,0.020000,Small,Standard
Boyer-Moore,0.00000000,0.012000,Small,Standard
Naive,0.00000000,0.021000,Small,Standard
KMP,0.00000000,0.037000,Small,Standard
Rabin-Karp,0.00000000,0.019000,Small,Standard
Boyer-Moore,0.00000000,0.005000,Small,Standard
Naive,0.00000000,0.019000,Small,Standard
KMP,0.00000000,0.034000,Small,Standard
Rabin-Karp,0.00000000,0.019667,Small,Standard
Boyer-Moore,0.00000000,0.005000,Small,Standard
Naive,0.00000000,0.201000,Small,Standard
KMP,0.00000000,0.359000,Small,Standard
Rabin-Karp,0.00000000,0.192000,Small,Standard
Boyer-Moore,0.00000000,0.172000,Small,Standard
Naive,0.00000000,0.193000,Small,Standard
KMP,0.00000000,0.372333,Small,Standard
Rabin-Karp,0.00000000,0.184667,Small,Standard
Boyer-Moore,0.00000000,0.025333,Small,Standard
Naive,0.00000000,0.229333,Small,Standard
KMP,0.00000000,0.342333,Small,Standard
Rabin-Karp,0.00000000,0.185667,Small,Standard
Boyer-Moore,0.00000000,0.016000,Small,Standard
Naive,0.00318192,1.992333,Medium,Standard
KMP,0.00172994,3.613333,Medium,Standard
Rabin-Karp,0.00337397,1.893000,Medium,Standard
Boyer-Moore,0.00707695,0.846000,Medium,Standard
Naive,0.01261095,1.940333,Medium,Standard
KMP,0.00688224,3.651333,Medium,Standard
Rabin-Karp,0.01349697,1.865000,Medium,Standard
Boyer-Moore,0.10702845,0.232333,Medium,Standard
Naive,0.02716762,1.847000,Medium,Standard
KMP,0.01422572,3.361667,Medium,Standard
Rabin-Karp,0.02688396,1.867000,Medium,Standard
Boyer-Moore,0.39613565,0.125667,Medium,Standard
Naive,0.00000000,0.021000,Small,Standard
KMP,0.00000000,0.037667,Small,Standard
Rabin-Karp,0.00000000,0.020000,Small,Standard
Boyer-Moore,0.00000000,0.014000,Small,Standard
Naive,0.00000000,0.024000,Small,Standard
KMP,0.00000000,0.039000,Small,Standard
Rabin-Karp,0.00000000,0.022000,Small,Standard
Boyer-Moore,0.00000000,0.008000,Small,Standard
Naive,0.00000000,0.021000,Small,Standard
KMP,0.00000000,0.035000,Small,Standard
Rabin-Karp,0.00000000,0.020000,Small,Standard
Boyer-Moore,0.00000000,0.007000,Small,Standard
Naive,0.00000000,0.234667,Small,Standard
KMP,0.00000000,0.398667,Small,Standard
Rabin-Karp,0.00000000,0.196667,Small,Standard
Boyer-Moore,0.00000000,0.105333,Small,Standard
Naive,0.00000000,0.195000,Small,Standard
KMP,0.00000000,0.390000,Small,Standard
Rabin-Karp,0.00000000,0.185667,Small,Standard
Boyer-Moore,0.00000000,0.030000,Small,Standard
Naive,0.00000000,0.213000,Small,Standard
KMP,0.00000000,0.342333,Small,Standard
Rabin-Karp,0.00000000,0.192000,Small,Standard
Boyer-Moore,0.00000000,0.020667,Small,Standard
Naive,0.00293800,2.117333,Medium,Standard
KMP,0.00169204,3.686333,Medium,Standard
Rabin-Karp,0.00318847,1.952000,Medium,Standard
Boyer-Moore,0.00717412,0.859000,Medium,Standard
Naive,0.01215353,2.017333,Medium,Standard
KMP,0.00684703,3.644000,Medium,Standard
Rabin-Karp,0.01338481,1.844000,Medium,Standard
Boyer-Moore,0.07774577,0.320000,Medium,Standard
Naive,0.02580780,1.887667,Medium,Standard
KMP,0.01455211,3.375000,Medium,Standard
Rabin-Karp,0.02704232,1.856667,Medium,Standard
Boyer-Moore,0.12707937,0.389000,Medium,Standard
Naive,0.00000000,0.019000,Small,Standard
KMP,0.00000000,0.036000,Small,Standard
Rabin-Karp,0.00000000,0.019000,Small,Standard
Boyer-Moore,0.00000000,0.011000,Small,Standard
Naive,0.00000000,0.019000,Small,Standard
KMP,0.00000000,0.036000,Small,Standard
