Tip podataka,Veličina teksta,Dužina uzorka,Algoritam,Vrijeme (ms),Podudaranja,Memorija (KB),Tačnost
Čisti tekst,1000,3,Naivni,0.060,1,5.0,Da
Čisti tekst,1000,3,KMP,0.112,1,8.0,Da
Čisti tekst,1000,3,Rabin-Karp,0.058,1,9.0,Da
Čisti tekst,1000,3,Boyer-Moore,0.042,1,12.0,Da
Čisti tekst,1000,10,Naivni,0.059,1,5.0,Da
Čisti tekst,1000,10,KMP,0.111,1,8.0,Da
Čisti tekst,1000,10,Rabin-Karp,0.074,1,9.0,Da
Čisti tekst,1000,10,Boyer-Moore,0.020,1,12.0,Da
Čisti tekst,1000,20,Naivni,0.058,1,5.0,Da
Čisti tekst,1000,20,KMP,0.115,1,8.0,Da
Čisti tekst,1000,20,Rabin-Karp,0.070,1,9.0,Da
Čisti tekst,1000,20,Boyer-Moore,0.017,1,12.0,Da
Čisti tekst,10000,3,Naivni,0.584,1,5.0,Da
Čisti tekst,10000,3,KMP,1.100,1,8.0,Da
Čisti tekst,10000,3,Rabin-Karp,0.561,1,9.0,Da
Čisti tekst,10000,3,Boyer-Moore,0.353,1,12.0,Da
Čisti tekst,10000,10,Naivni,0.584,1,5.0,Da
Čisti tekst,10000,10,KMP,1.334,1,8.0,Da
Čisti tekst,10000,10,Rabin-Karp,0.569,1,9.0,Da
Čisti tekst,10000,10,Boyer-Moore,0.120,1,12.0,Da
Čisti tekst,10000,20,Naivni,0.555,1,5.0,Da
Čisti tekst,10000,20,KMP,1.049,1,8.0,Da
Čisti tekst,10000,20,Rabin-Karp,0.464,1,9.0,Da
Čisti tekst,10000,20,Boyer-Moore,0.052,1,12.0,Da
Čisti tekst,100000,3,Naivni,4.026,2,5.0,Da
Čisti tekst,100000,3,KMP,6.747,2,8.0,Da
Čisti tekst,100000,3,Rabin-Karp,3.455,2,9.0,Da
Čisti tekst,100000,3,Boyer-Moore,1.959,2,12.0,Da
Čisti tekst,100000,10,Naivni,3.196,1,5.0,Da
Čisti tekst,100000,10,KMP,5.293,1,8.0,Da
Čisti tekst,100000,10,Rabin-Karp,2.856,1,9.0,Da
Čisti tekst,100000,10,Boyer-Moore,0.445,1,12.0,Da
Čisti tekst,100000,20,Naivni,2.600,1,5.0,Da
Čisti tekst,100000,20,KMP,4.578,1,8.0,Da
Čisti tekst,100000,20,Rabin-Karp,2.359,1,9.0,Da
Čisti tekst,100000,20,Boyer-Moore,0.228,1,12.0,Da
Sistemski logovi,1000,3,Naivni,0.025,2,5.0,Da
Sistemski logovi,1000,3,KMP,0.046,2,8.0,Da
Sistemski logovi,1000,3,Rabin-Karp,0.024,2,9.0,Da
Sistemski logovi,1000,3,Boyer-Moore,0.019,2,12.0,Da
Sistemski logovi,1000,10,Naivni,0.026,1,5.0,Da
Sistemski logovi,1000,10,KMP,0.046,1,8.0,Da
Sistemski logovi,1000,10,Rabin-Karp,0.023,1,9.0,Da
Sistemski logovi,1000,10,Boyer-Moore,0.008,1,12.0,Da
Sistemski logovi,1000,20,Naivni,0.029,1,5.0,Da
Sistemski logovi,1000,20,KMP,0.048,1,8.0,Da
Sistemski logovi,1000,20,Rabin-Karp,0.030,1,9.0,Da
Sistemski logovi,1000,20,Boyer-Moore,0.011,1,12.0,Da
Sistemski logovi,10000,3,Naivni,0.348,57,5.0,Da
Sistemski logovi,10000,3,KMP,0.471,57,8.0,Da
Sistemski logovi,10000,3,Rabin-Karp,0.233,57,9.0,Da
Sistemski logovi,10000,3,Boyer-Moore,0.137,57,12.0,Da
Sistemski logovi,10000,10,Naivni,0.236,4,5.0,Da
Sistemski logovi,10000,10,KMP,0.507,4,8.0,Da
Sistemski logovi,10000,10,Rabin-Karp,0.237,4,9.0,Da
