Algorithm,Test_Category,Data_Type,Text_Size_Bytes,Pattern_Size_Bytes,Execution_Time_Ms,Memory_Usage_KB,Matches_Found,Is_Correct,L1_Cache_Misses,L2_Cache_Misses,Instructions,Cache_Miss_Rate,Efficiency_Score,Cache_Efficiency,Cache_Data_Available
Naive,Standard,Clean Text,1000,4,0.021000,0.000,1,Yes,0,0,21079,0.00000000,99.990,100.000,Yes
KMP,Standard,Clean Text,1000,4,0.060000,32.000,1,Yes,0,0,41499,0.00000000,69.973,100.000,Yes
Rabin-Karp,Standard,Clean Text,1000,4,0.020000,2.000,1,Yes,0,0,24566,0.00000000,98.116,100.000,Yes
Boyer-Moore,Standard,Clean Text,1000,4,0.012000,1.000,1,Yes,0,0,12850,0.00000000,99.057,100.000,Yes
Naive,Standard,Clean Text,1000,16,0.021000,0.000,1,Yes,0,0,21249,0.00000000,99.990,100.000,Yes
KMP,Standard,Clean Text,1000,16,0.037000,0.062,1,Yes,0,0,38829,0.00000000,99.925,100.000,Yes
Rabin-Karp,Standard,Clean Text,1000,16,0.019000,2.000,1,Yes,0,0,19008,0.00000000,98.116,100.000,Yes
Boyer-Moore,Standard,Clean Text,1000,16,0.005000,1.000,1,Yes,0,0,5866,0.00000000,99.060,100.000,Yes
Naive,Standard,Clean Text,1000,32,0.019000,0.000,1,Yes,0,0,19679,0.00000000,99.991,100.000,Yes
KMP,Standard,Clean Text,1000,32,0.034000,0.125,1,Yes,0,0,35587,0.00000000,99.867,100.000,Yes
Rabin-Karp,Standard,Clean Text,1000,32,0.019667,2.000,1,Yes,0,0,19899,0.00000000,98.116,100.000,Yes
Boyer-Moore,Standard,Clean Text,1000,32,0.005000,1.000,1,Yes,0,0,5716,0.00000000,99.060,100.000,Yes
Naive,Standard,Clean Text,10000,4,0.201000,0.000,1,Yes,0,0,204004,0.00000000,99.908,100.000,Yes
KMP,Standard,Clean Text,10000,4,0.359000,0.016,1,Yes,0,0,360150,0.00000000,99.822,100.000,Yes
Rabin-Karp,Standard,Clean Text,10000,4,0.192000,2.000,1,Yes,0,0,203662,0.00000000,98.038,100.000,Yes
Boyer-Moore,Standard,Clean Text,10000,4,0.172000,32.000,1,Yes,0,0,89679,0.00000000,69.922,100.000,Yes
Naive,Standard,Clean Text,10000,16,0.193000,0.000,1,Yes,0,0,193562,0.00000000,99.912,100.000,Yes
KMP,Standard,Clean Text,10000,16,0.372333,0.062,1,Yes,0,0,364599,0.00000000,99.772,100.000,Yes
Rabin-Karp,Standard,Clean Text,10000,16,0.184667,2.000,1,Yes,0,0,185374,0.00000000,98.041,100.000,Yes
Boyer-Moore,Standard,Clean Text,10000,16,0.025333,1.000,1,Yes,0,0,25920,0.00000000,99.051,100.000,Yes
Naive,Standard,Clean Text,10000,32,0.229333,0.000,1,Yes,0,0,209545,0.00000000,99.896,100.000,Yes
KMP,Standard,Clean Text,10000,32,0.342333,0.125,1,Yes,0,0,336804,0.00000000,99.727,100.000,Yes
Rabin-Karp,Standard,Clean Text,10000,32,0.185667,2.000,1,Yes,0,0,188975,0.00000000,98.040,100.000,Yes
Boyer-Moore,Standard,Clean Text,10000,32,0.016000,1.000,1,Yes,0,0,16741,0.00000000,99.055,100.000,Yes
Naive,Standard,Clean Text,100000,4,1.992333,0.000,1,Yes,6248,0,1963595,0.00318192,99.093,99.682,Yes
KMP,Standard,Clean Text,100000,4,3.613333,0.016,1,Yes,6248,0,3611679,0.00172994,98.340,99.827,Yes
Rabin-Karp,Standard,Clean Text,100000,4,1.893000,2.000,1,Yes,6248,0,1851825,0.00337397,97.263,99.663,Yes
Boyer-Moore,Standard,Clean Text,100000,4,0.846000,32.000,1,Yes,6248,0,882866,0.00707695,69.615,99.292,Yes
Naive,Standard,Clean Text,100000,16,1.940333,0.000,1,Yes,24992,0,1981770,0.01261095,99.116,98.739,Yes
KMP,Standard,Clean Text,100000,16,3.651333,0.062,1,Yes,24992,0,3631375,0.00688224,98.279,99.312,Yes
Rabin-Karp,Standard,Clean Text,100000,16,1.865000,2.000,1,Yes,24992,0,1851675,0.01349697,97.276,98.650,Yes
Boyer-Moore,Standard,Clean Text,100000,16,0.232333,1.000,1,Yes,24992,0,233508,0.10702845,98.957,89.297,Yes
Naive,Standard,Clean Text,100000,32,1.847000,0.000,1,Yes,49984,0,1839837,0.02716762,99.159,97.283,Yes
KMP,Standard,Clean Text,100000,32,3.361667,0.125,1,Yes,49984,0,3513637,0.01422572,98.352,98.577,Yes
Rabin-Karp,Standard,Clean Text,100000,32,1.867000,2.000,1,Yes,49984,0,1859250,0.02688396,97.275,97.312,Yes
Boyer-Moore,Standard,Clean Text,100000,32,0.125667,1.000,1,Yes,49984,0,126179,0.39613565,99.005,60.386,Yes
Naive,Standard,System Logs,1000,4,0.021000,0.000,5,Yes,0,0,22379,0.00000000,99.990,100.000,Yes
